"","CODREG","total","sort","type"
"1","04",115.26,"04","Evergreen"
"2","05",3259.25,"05","Evergreen"
"3","06",3085.98,"06","Evergreen"
"4","07",1943.87,"07","Evergreen"
"5","09",12.11,"09","Evergreen"
"6","10",5.23,"10","Evergreen"
"7","13",2654.78,"13","Evergreen"
"8","14",6.38,"14","Evergreen"
"9","16",140.88,"16","Evergreen"
"10","08",205.38,"08","Evergreen"
"11","05",11.32,"05","Deciduos"
"12","06",287.68,"06","Deciduos"
"13","07",19.22,"07","Deciduos"
"14","13",79.88,"13","Deciduos"
