"pathRow","Total","percent_total"
"001072",1792,1.78301361139855
"001073",1904,1.89445196211096
"001074",1931,1.92131656451485
"001075",1950,1.94022128472499
"001076",1958,1.94818116691873
"001077",1949,1.93922629945077
"001078",1934,1.9243015203375
"001079",1884,1.8745522566266
"001080",1856,1.8466926689485
"001081",1769,1.76012895009154
"001082",1706,1.69744487781581
"001083",1300,1.29348085648332
"001084",1326,1.31935047361299
"001085",1332,1.3253203852583
"001086",1307,1.30044575340285
"001087",1140,1.13428321260845
"001088",958,0.953195892700788
"001089",853,0.848722438907904
"001090",645,0.641765501870572
"001091",366,0.364164610363767
"001092",284,0.282575817877895
"001093",61,0.0606941017272944
"002072",1928,1.91833160869219
"002073",1970,1.96012099020934
"002074",1973,1.963105946032
"002075",1941,1.93126641725702
"002076",1651,1.64272068773382
"002077",138,0.137307967842076
"225098",476,0.47361299052774
"225099",259,0.257701186022447
"226098",534,0.531322136432381
"226099",176,0.175117408262358
"227097",665,0.661665207354931
"227098",471,0.46863806415665
"227099",169,0.168152511342832
"228096",752,0.748228926211892
"228097",686,0.682559898113508
"228098",299,0.297500596991165
"228099",2,0.00198997054843588
"229096",780,0.776088513889994
"229097",493,0.490527740189445
"229098",162,0.161187614423307
"230095",956,0.951205922152352
"230096",690,0.68653983921038
"230097",251,0.249741303828703
"230098",174,0.173127437713922
"231090",1382,1.3750696489692
"231091",1276,1.26960120990209
"231092",1133,1.12731831568893
"231093",1055,1.04970946429993
"231094",907,0.902451643715673
"231095",712,0.708429515243174
"231096",268,0.266656053490408
"231097",188,0.187057231552973
"232076",1891,1.88151715354613
"232077",1930,1.92032157924063
"232083",1776,1.76709384701106
"232084",1689,1.6805301281541
"232085",1698,1.68948499562206
"232086",1580,1.57207673326435
"232087",1485,1.47755313221364
"232088",1350,1.34323012019422
"232089",1172,1.16612274138343
"232090",980,0.975085568733583
"232091",734,0.730319191275969
"232092",626,0.622860781660431
"232093",593,0.590026267611239
"232094",380,0.378094404202818
"232095",243,0.24178142163496
"232096",202,0.200987025392024
"233075",1897,1.88748706519144
"233076",1934,1.9243015203375
"233077",1926,1.91634163814376
"233078",1941,1.93126641725702
"233079",1929,1.91932659396641
"233080",1889,1.87952718299769
"233081",1833,1.82380800764149
"233082",1787,1.77803868502746
"233083",1633,1.6248109527979
"233084",1554,1.54620711613468
"233085",1518,1.51038764626284
"233086",1443,1.43576375069649
"233087",1248,1.24174162222399
"233088",1071,1.06562922868742
"233089",963,0.958170819071878
"233090",804,0.799968160471225
"233091",637,0.633805619676829
"233092",503,0.500477592931625
"233093",422,0.419883785719971
"233094",308,0.306455464459126
"233095",213,0.211931863408422
